FID,Route_Name,Route_Numb,Route_Dire,On_Street,At_Street,X,Y
577,Central 3,0.000000000000000, ,Erie,Louis,-83.023373770399999,42.312594306299999
578,Central 3,0.000000000000000, ,Erie,Elsmere,-83.021382806199995,42.313307042799998
579,Central 3,0.000000000000000, ,Erie,Marion,-83.018266600600001,42.314397829699999
580,Central 3,0.000000000000000, ,Erie,Hall,-83.015446583300005,42.315366543099998
581,Central 3,0.000000000000000, ,Richmond,Lincoln,-83.011322438600004,42.315139045199999
582,Central 3,0.000000000000000, ,Richmond,Kildare,-83.008902825899995,42.315998857099999
583,Central 3,0.000000000000000, ,Richmond,Argyle,-83.006097635100005,42.316996005199996
584,Central 3,0.000000000000000, ,Richmond,Walker,-83.004195046199996,42.318251832100003
585,Central 3,0.000000000000000, ,Richmond,St Luke,-83.001522965199996,42.319065617699998
586,Central 3,0.000000000000000, ,Richmond,Drouillard,-82.999250893300001,42.319871802100003
587,Central 3,0.000000000000000, ,Drouillard,Ontario,-82.998080578900002,42.318193109500001
588,Central 3,0.000000000000000, ,Drouillard,Franklin,-82.996827118900001,42.316214595799998
589,Central 3,0.000000000000000, ,Drouillard,Seminole,-82.994428104999997,42.312494788599999
590,Central 3,0.000000000000000, ,Drouillard,Reginald,-82.992708174699999,42.309805344799997
591,Central 3,0.000000000000000, ,Drouillard,Alice,-82.991368660999996,42.307723383499997
592,Central 3,0.000000000000000, ,Drouillard,Milloy,-82.990132071999994,42.305775011700000
593,Central 3,0.000000000000000, ,Drouillard,Tecumseh,-82.988995539599998,42.303984922200002
594,Central 3,0.000000000000000, ,George,Tecumseh,-82.976057160500005,42.306476713999999
595,Central 3,0.000000000000000, ,George,Milloy,-82.978545944499999,42.310343715999998
596,Central 3,0.000000000000000, ,George,Alice,-82.979850201800005,42.312376859700002
597,Central 3,0.000000000000000, ,George,Reginald,-82.981117778699996,42.314341324799997
598,Central 3,0.000000000000000, ,Seminole,Pillette,-82.975652553800003,42.318399906499998
599,Central 3,0.000000000000000, ,Pillette,Reginald,-82.973934223699999,42.316433010799997
600,Central 3,0.000000000000000, ,Pillette,Alice,-82.972643858799998,42.314444833899998
601,Central 3,0.000000000000000, ,Pillette,Milloy,-82.971386388400006,42.312457212399998
602,Central 3,0.000000000000000, ,Pillette,Guy,-82.970102833799999,42.310448184000002
603,Central 3,0.000000000000000, ,Pillette,Tecumseh,-82.967935207599993,42.307051234699998
604,Central 3,0.000000000000000, ,Pillette,Adstoll,-82.965756470399995,42.303646079600000
605,Central 3,0.000000000000000, ,Pillette,Grand Marais,-82.964771653200003,42.302115649699999
606,Central 3,0.000000000000000, ,Pillette,Plymouth,-82.962000296200003,42.297640764400001
607,Central 3,0.000000000000000, ,Plymouth,Robert,-82.964449399299994,42.296668119899998
