the_geom,stop_code,OBJECTID,stop_id,stop_name,stop_desc,stop_lat,stop_lon,Source
POINT (-83.19805999999994 42.38725500000004),GFSTNB,263,377,GREENFIELD & SCHOOLCRAFT,Greenfield Rd & Schoolcraft St,42.387255,-83.19806,DDOT GTFS
POINT (-83.19818199999997 42.39268400000003),GFGRNB,264,378,Greenfield & Grand River,Greenfield Rd & Grand River Ave,42.392684,-83.198182,DDOT GTFS
POINT (-83.19923399999999 42.416243000000065),GF6MNB,265,379,Greenfield & McNichols,Greenfield Rd & W Mcnichols Rd,42.416243,-83.199234,DDOT GTFS
POINT (-83.23940799999997 42.44357100000008),EV8MSB,266,380,Evergreen & Eight Mile,Evergreen Rd & W 8 Mile Rd,42.443571,-83.239408,DDOT GTFS
POINT (-83.22011199999997 42.42972000000003),7MSOEB,267,381,Seven Mile & Southfield,W 7 Mile Rd & Southfield Fwy,42.42972,-83.220112,DDOT GTFS
POINT (-83.14095499999996 42.43151700000004),7MLVEB,268,384,Seven Mile & Livernois,W 7 Mile Rd & Livernois Ave,42.431517,-83.140955,DDOT GTFS
POINT (-83.11632699999996 42.41723700000006),HM6MSB,269,386,Hamilton & Six Mile,Hamilton Ave & W Mcnichols Rd,42.417237,-83.116327,DDOT GTFS
POINT (-83.09083999999996 42.37931400000008),JCCLSB,270,387,J.C.Lodge & Clairmount,John C Lodge Expy & Clairmount St,42.379314,-83.09084,DDOT GTFS
POINT (-83.06065692399994 42.34102782200006),TH2DSB,271,390,TEMPLE AND 2ND,Temple St & 2nd Ave,42.341123,-83.060764,DDOT GTFS
POINT (-83.04278299999999 42.33042400000005),LRRDEB,272,393,LARNED & RANDOLPH,Larned St & Randolph St,42.330424,-83.042783,DDOT GTFS
POINT (-83.04020499999996 42.33109200000007),BEJFSB,273,394,Beaubien & Jefferson,Beaubien St & E Jefferson Ave,42.331092,-83.040205,DDOT GTFS
POINT (-83.05091399999998 42.33749000000006),WDAD2NB,274,396,WOODWARD & ADAMS,Woodward Ave & E Adams Ave,42.33749,-83.050914,DDOT GTFS
POINT (-83.06045399999994 42.33731300000005),GR3DWB,275,397,Grand River & Third,Grand River Ave & 3rd Ave,42.337313,-83.060454,DDOT GTFS
POINT (-83.07658299999997 42.36871200000007),SDBVNB,276,401,Second & West Grand Blvd,2nd Ave & W Grand Blvd,42.368712,-83.076583,DDOT GTFS
POINT (-83.08951899999994 42.38018000000005),JCCLNB,277,402,J.C.Lodge & Clairmount,John C Lodge Expy & Clairmount St,42.38018,-83.089519,DDOT GTFS
